player_id,avg_points,avg_rebounds,avg_assists,name,team_id
2242,10.2,5.0,1.6,Caleb Martin,20
2785,3.1,2.1,0.2,Omer Yurtseven,20
724,19.7,9.3,3.3,Bam Adebayo,20
327,10.7,4.0,4.7,Kyle Lowry,20
1866,20.0,5.4,4.1,Tyler Herro,20
3424,6.6,3.4,0.8,Jamal Cain,20
1815,4.2,3.0,0.7,Haywood Highsmith,20
3453,4.9,2.3,0.9,Nikola Jovic,20
131,5.5,3.6,0.5,Dewayne Dedmon,20
3482,3.7,3.8,1.0,Orlando Robinson,20
1018,7.7,1.7,1.4,Duncan Robinson,20
2051,11.2,3.3,2.0,Max Strus,20
2880,3.2,2.5,1.8,Marcus Garrett,20
3360,4.8,2.1,1.4,Dru Smith,20
86,23.6,5.9,5.4,Jimmy Butler,20
3430,1.0,2.0,0.5,Darius Days,20
3418,6.1,1.9,1.6,Jamaree Bouyea,20
1775,10.0,2.0,2.7,Gabe Vincent,20
403,10.3,3.0,3.4,Victor Oladipo,20
2201,3.0,0.0,1.0,Mychal Mulder,20
225,3.0,1.3,0.0,Udonis Haslem,20
326,7.2,5.4,1.5,Kevin Love,20
571,3.9,3.1,0.5,Cody Zeller,20
